date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-08-20,sh.600000,4.8660326000,4.9511031000,4.8183931200,4.8286015800,4.9170749000,62482199,896280043.0000,2,0.606408,1,-1.799300,0
2010-08-23,sh.600000,4.8320044000,4.9613115600,4.8320044000,4.8796438800,4.8286015800,57525198,829524099.0000,2,0.558299,1,1.057100,0
2010-08-24,sh.600000,4.8728382400,4.9477002800,4.8149903000,4.8932551600,4.8796438800,48256463,694908875.0000,2,0.468343,1,0.278900,0
2010-08-25,sh.600000,4.8626297800,4.8762410600,4.7571423600,4.7741564600,4.8932551600,49499195,699447224.0000,2,0.480404,1,-2.433900,0
2010-08-26,sh.600000,4.8183931200,4.8286015800,4.7401282600,4.7537395400,4.7741564600,29704170,416241560.0000,2,0.288288,1,-0.427700,0
2010-08-27,sh.600000,4.7605451800,4.8081846600,4.7231141600,4.7571423600,4.7537395400,35648958,498344600.0000,2,0.345984,1,0.071600,0
2010-08-30,sh.600000,4.7843649200,4.8320044000,4.7537395400,4.7979762000,4.7571423600,52065218,733619305.0000,2,0.505308,1,0.858400,0
2010-08-31,sh.600000,4.7775592800,4.8081846600,4.7367254400,4.7605451800,4.7979762000,51313006,718625404.0000,2,0.498008,1,-0.780100,0
2010-09-01,sh.600000,4.7877677400,4.8796438800,4.6924887800,4.7605451800,4.7605451800,90479283,1270601410.0000,2,0.878128,1,0.000000,0
2010-09-02,sh.600000,4.8592269600,4.8592269600,4.7469339000,4.7877677400,4.7605451800,67694138,952725720.0000,2,0.656992,1,0.571800,0
2010-09-03,sh.600000,4.7877677400,4.7877677400,4.7061000600,4.7469339000,4.7877677400,61894269,860281572.0000,2,0.600702,1,-0.852900,0
2010-09-06,sh.600000,4.7673508200,4.8524213200,4.7231141600,4.8422128600,4.7469339000,104581943,1478452480.0000,2,1.014999,1,2.007200,0
2010-09-07,sh.600000,4.8490185000,4.8796438800,4.7809621000,4.8183931200,4.8422128600,58235840,825884779.0000,2,0.565196,1,-0.491900,0
2010-09-08,sh.600000,4.7809621000,4.7877677400,4.6958916000,4.7265169800,4.8183931200,86168491,1196825831.0000,2,0.836291,1,-1.906776,0
2010-09-09,sh.600000,4.7265169800,4.7299198000,4.5767929000,4.6074182800,4.7265169800,111465647,1518435847.0000,2,1.081807,1,-2.519800,0
2010-09-10,sh.600000,4.6108211000,4.6312380200,4.5257506000,4.5972098200,4.6074182800,53410553,718666801.0000,2,0.518365,1,-0.221600,0
2010-09-13,sh.600000,4.5767929000,4.6448493000,4.5257506000,4.5904041800,4.5972098200,72412342,973891188.0000,2,0.702783,1,-0.148000,0
2010-09-14,sh.600000,4.6210295600,4.6516549400,4.5631816200,4.5938070000,4.5904041800,61653853,837069869.0000,2,0.598369,1,0.074100,0
2010-09-15,sh.600000,4.6040154600,4.6040154600,4.5257506000,4.5359590600,4.5938070000,44861148,598976950.0000,2,0.435391,1,-1.259300,0
2010-09-16,sh.600000,4.5257506000,4.5257506000,4.3896378000,4.4304716400,4.5359590600,73439103,962141564.0000,2,0.712748,1,-2.325600,0
2010-09-17,sh.600000,4.4542913800,4.4679026600,4.3896378000,4.4100547200,4.4304716400,43280633,561810742.0000,2,0.420051,1,-0.460800,0
2010-09-20,sh.600000,4.4100547200,4.4100547200,4.4100547200,4.4100547200,4.4100547200,0,0.0000,2,,0,0.000000,0
2010-09-21,sh.600000,4.4236660000,4.4576942000,4.3794293400,4.4032490800,4.4100547200,33671474,435800784.0000,2,0.326792,1,-0.154300,0
2010-09-27,sh.600000,4.4236660000,4.4304716400,4.3862349800,4.3998462600,4.4032490800,43203690,558528362.0000,2,0.419305,1,-0.077300,0
2010-09-28,sh.600000,4.3964434400,4.3964434400,4.2773447400,4.2807475600,4.3998462600,63988129,812414100.0000,2,0.621024,1,-2.706900,0
2010-09-29,sh.600000,4.1514404000,4.3181785800,4.1242178400,4.2501221800,4.2807475600,79916494,997197203.0000,2,0.696194,1,-0.715400,0
2010-09-30,sh.600000,4.2092883400,4.4202631800,4.1922742400,4.4100547200,4.2501221800,76420556,979547222.0000,2,0.665739,1,3.763000,0
2010-10-08,sh.600000,4.4542913800,4.5835985400,4.3760265200,4.5461675200,4.4100547200,99243331,1315643037.0000,2,0.864560,1,3.086400,0
2010-10-11,sh.600000,4.5495703400,4.7809621000,4.5461675200,4.7265169800,4.5461675200,168240264,2318100819.0000,2,1.465628,1,3.967100,0
2010-10-12,sh.600000,4.7061000600,4.7571423600,4.6618634000,4.7503367200,4.7265169800,108929191,1510044994.0000,2,0.948938,1,0.504000,0
2010-10-13,sh.600000,4.7537395400,4.9306861800,4.7231141600,4.9136720800,4.7503367200,211717370,3007557042.0000,2,1.844379,1,3.438400,0
2010-10-14,sh.600000,4.9374918200,5.1042300000,4.8796438800,4.8966579800,4.9136720800,219500516,3224287046.0000,2,1.912182,1,-0.346300,0
2010-10-15,sh.600000,4.8728382400,5.2029117800,4.8626297800,5.1893005000,4.8966579800,282011075,4209289593.0000,2,2.456744,1,5.976400,0
2010-10-18,sh.600000,5.3083992000,5.4274979000,5.1756892200,5.2233287000,5.1893005000,267097716,4152881189.0000,2,2.326826,1,0.655700,0
2010-10-19,sh.600000,5.2233287000,5.2403428000,5.1042300000,5.2267315200,5.2233287000,144202185,2190463392.0000,2,1.256220,1,0.065100,0
2010-10-20,sh.600000,5.1824948600,5.3594415000,5.1382582000,5.1961061400,5.2267315200,185767858,2865243850.0000,2,1.618320,1,-0.585900,0
2010-10-21,sh.600000,5.1961061400,5.2029117800,4.9511031000,4.9987425800,5.1961061400,150426073,2232984803.0000,2,1.310439,1,-3.798300,0
2010-10-22,sh.600000,4.9817284800,5.0157566800,4.8932551600,4.9511031000,4.9987425800,109896506,1596056502.0000,2,0.957365,1,-0.953000,0
2010-10-25,sh.600000,4.9613115600,5.0872159000,4.8456156800,5.0089510400,4.9511031000,143474639,2098193318.0000,2,1.249882,1,1.168400,0
2010-10-26,sh.600000,5.0225623200,5.0940215400,4.9000608000,4.9749228400,5.0089510400,107789175,1582273772.0000,2,0.939007,1,-0.679300,0
